file_name,md5sum,page_count,char_count,size,doi,title,source
busca__final/51a8206f7af37ff98d1582ce81530485.pdf,51a8206f7af37ff98d1582ce81530485,8,37184,102717,10.1177/0961203311401457,"Vitamin D insufficiency in Brazilian patients with SLE: prevalence, associated factors, and relationship with activity",LUPUS
busca__final/f448b1f6917ef6127815383227533974.pdf,f448b1f6917ef6127815383227533974,7,34880,168347,10.1111/j.1479-828X.2011.01313.x,Vitamin D status and its predictive factors in pregnancy in 2 Australian populations,AUSTRALIAN & NEW ZEALAND JOURNAL OF OBSTETRICS & GYNAECOLOGY
busca__final/adbaa67da847c01a0ef55ea397c42dc2.pdf,adbaa67da847c01a0ef55ea397c42dc2,13,69693,120861,10.1111/j.1529-8019.2009.01290.x,Effects of ambient sunlight and photoprotection on vitamin D status,DERMATOLOGIC THERAPY
busca__final/b105e4cadbb6fdd64db5d43ac904f953.pdf,b105e4cadbb6fdd64db5d43ac904f953,6,36200,133505,10.1111/j.1600-0781.2010.00524.x,Vitamin D in health and disease,PHOTODERMATOLOGY PHOTOIMMUNOLOGY & PHOTOMEDICINE
busca__final/c42dc934103a65b036748b313d3b3503.pdf,c42dc934103a65b036748b313d3b3503,7,26814,127850,10.1007/s11255-006-0081-7,25(OH) Vitamin D<sub>3</sub> in patients with chronic kidney disease and those on dialysis:: rediscovering its importance,INTERNATIONAL UROLOGY AND NEPHROLOGY
busca__final/6cbc81a5abef849f4be362a6322698ea.pdf,6cbc81a5abef849f4be362a6322698ea,11,51841,497586,10.1017/S0007114517003634,Prevalence and determinants of vitamin D deficiency in the third trimester of pregnancy: a multicentre study in Switzerland,BRITISH JOURNAL OF NUTRITION
busca__final/19e0797800968a8fc665bd010f9138ea.pdf,19e0797800968a8fc665bd010f9138ea,9,65578,439288,10.1016/j.cca.2012.09.004,Vitamin D in exercise: Physiologic and analytical concerns,CLINICA CHIMICA ACTA
busca__final/9dae290242d15c0259f84c0928aa5eef.pdf,9dae290242d15c0259f84c0928aa5eef,6,35976,557528,10.3945/jn.110.124891,Daily Supplementation with 25 μg Cholecalciferol Does Not Increase Calcium Absorption or Skeletal Retention in Adolescent Girls with Low Serum 25-Hydroxyvitamin D,JOURNAL OF NUTRITION
busca__final/c11b12dd5f20a573737cd891a020091b.pdf,c11b12dd5f20a573737cd891a020091b,13,61769,115448,10.1177/1099800407308057,The effects of vitamin D deficiency and insufficiency on the endocrine and paracrine systems,BIOLOGICAL RESEARCH FOR NURSING
busca__final/14ee2395ac4dab13f07967319c1a7166.pdf,14ee2395ac4dab13f07967319c1a7166,11,60195,322684,10.1007/s10741-006-9192-6,Macro- and micronutrients in African-Americans with heart failure,HEART FAILURE REVIEWS
busca__final/b511bfe6ae4bfa034395cc6242bdb8ff.pdf,b511bfe6ae4bfa034395cc6242bdb8ff,5,28221,122268,10.1016/j.bbmt.2010.10.009,25-Hydroxy Vitamin D Deficiency Following Pediatric Hematopoietic Stem Cell Transplant,BIOLOGY OF BLOOD AND MARROW TRANSPLANTATION
busca__final/ba432312b0a809cd44dc40d8d466562c.pdf,ba432312b0a809cd44dc40d8d466562c,10,65967,610804,10.1016/j.jphotobiol.2014.07.018,"Influence of external, intrinsic and individual behaviour variables on serum 25(OH)D in a German survey",JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY B-BIOLOGY
busca__final/c78dc997dcac438e41018967eda07b4b.pdf,c78dc997dcac438e41018967eda07b4b,11,61660,2854819,10.1016/j.jsbmb.2020.105664,Effects of sunlight exposure and vitamin D supplementation on HIV patients,JOURNAL OF STEROID BIOCHEMISTRY AND MOLECULAR BIOLOGY
busca__final/dcea0f64f405cef541393aabd73547eb.pdf,dcea0f64f405cef541393aabd73547eb,8,36698,134377,10.1590/2359-3997000000007,Risk factors associated with hypovitaminosis D in HIV/aids-infected adults,ARCHIVES OF ENDOCRINOLOGY METABOLISM
busca__final/e7e1321aab8501064aa56335d65064d9.pdf,e7e1321aab8501064aa56335d65064d9,7,32055,247756,10.6065/apem.2040132.066,"Vitamin D insufficiency and its contributing factors in primary school-aged children in Indonesia, a sun-rich country",ANNALS OF PEDIATRIC ENDOCRINOLOGY & METABOLISM
busca__final/a99716241c056c0d7301ab49db0d492c.pdf,a99716241c056c0d7301ab49db0d492c,13,54894,994872,10.3390/nu13020573,Comparison of Vitamin D and 25-Hydroxyvitamin D Concentrations in Human Breast Milk between 1989 and 2016-2017,NUTRIENTS
busca__final/010a1df2c749e587cafd4eb57e62bfc7.pdf,010a1df2c749e587cafd4eb57e62bfc7,9,43513,1149021,10.1016/j.heliyon.2020.e03479,Vitamin D nutritional status in the adult population in Colombia - An analytical cross-sectional study,HELIYON
busca__final/0ae7bb9ae6a3f1c1b4193ca9d6f7f794.pdf,0ae7bb9ae6a3f1c1b4193ca9d6f7f794,8,23659,429039,10.1093/oxfordjournals.rpd.a033236,Sunlight and vitamin D: The bone and cancer connections,RADIATION PROTECTION DOSIMETRY
busca__final/0e1a22a3d1c5031fdfb04b9994901d2a.pdf,0e1a22a3d1c5031fdfb04b9994901d2a,5,23722,182369,10.1007/s12020-013-9934-x,Bone mineral density and vitamin D levels in erythropoietic protoporphyria,ENDOCRINE
busca__final/0f4edd9a9675afc250c3b212cf400877.pdf,0f4edd9a9675afc250c3b212cf400877,6,35727,176633,10.1002/pbc.24684,Prevalence of 25-Hydroxyvitamin D Deficiency in Child and Adolescent Patients Undergoing Hematopoietic Cell Transplantation Compared to a Healthy Population,PEDIATRIC BLOOD & CANCER
busca__final/97d15494d9f41377ddeb8de3b8b81727.pdf,97d15494d9f41377ddeb8de3b8b81727,11,43499,991974,10.3390/children8020111,Vitamin D Status in Children in Greece and Its Relationship with Sunscreen Application,CHILDREN-BASEL
busca__final/b87e852894c230da687370a5fb496742.pdf,b87e852894c230da687370a5fb496742,7,23219,576534,10.4414/smw.2012.13672,Preserved circannual rhythm of vitamin D in kidney transplant patients,SWISS MEDICAL WEEKLY
busca__final/b501bb229a1d00bba1506d322b82262e.pdf,b501bb229a1d00bba1506d322b82262e,8,39152,377835,10.1186/s12889-018-6244-5,"Vitamin D status in Kancheepuram District, Tamil Nadu, India",BMC PUBLIC HEALTH
busca__final/3b7874794c9df4389ad186529714f6ac.pdf,3b7874794c9df4389ad186529714f6ac,7,39786,164460,10.1111/1346-8138.14742,Vitamin D status in Thai dermatologists and working-age Thai population,JOURNAL OF DERMATOLOGY
busca__final/1f69f7d49e52a2802e4fdb101d011d38.pdf,1f69f7d49e52a2802e4fdb101d011d38,9,43474,475460,10.1177/0009922811431161,The Five Paradoxes of Vitamin D and the Importance of Sunscreen Protection,CLINICAL PEDIATRICS
busca__final/ed1bdee6a3543ba6872c1575b18e9765.pdf,ed1bdee6a3543ba6872c1575b18e9765,9,40860,617623,10.1186/s12889-021-12133-5,"Evaluation of the knowledge regarding vitamin D, and sunscreen use of female adolescents in Iran",BMC PUBLIC HEALTH
busca__final/83fdd8515f8fba4cd739647d68cbaff8.pdf,83fdd8515f8fba4cd739647d68cbaff8,9,36887,920454,10.1186/s12887-022-03797-y,Prevalence and risk factors for vitamin D insufficiency in 6-12-month-old infants: a cross-sectional study in Southern Thailand,BMC PEDIATRICS
busca__final/096814ef5d30ba65aa223a875247b801.pdf,096814ef5d30ba65aa223a875247b801,8,19132,1215150,10.4067/s0034-98872019001101415,Vitamin D levels among anesthesiologists and other physicians,REVISTA MEDICA DE CHILE
busca__final/f543fce19d6f98921268dfc4fe60cc13.pdf,f543fce19d6f98921268dfc4fe60cc13,9,40885,940958,10.1038/s41598-023-42557-5,Vitamin D status in non-pregnant women of reproductive age: a study in Southern Thailand,SCIENTIFIC REPORTS
busca__final/22c6ba3cdca9c321fbdf5dadd9ef8a22.pdf,22c6ba3cdca9c321fbdf5dadd9ef8a22,9,48598,458109,10.1017/jns.2023.25,Assessment of the vitamin D status and its determinants in young healthy students from Palestine,JOURNAL OF NUTRITIONAL SCIENCE
busca__final/104eec0f52d5fe90c242d39e012eb15c.pdf,104eec0f52d5fe90c242d39e012eb15c,12,54560,1834621,10.1186/s12909-023-04001-0,Risk perception of sun exposure and knowledge of vitamin D among the healthcare providers in a high-risk country: a cross-sectional study,BMC MEDICAL EDUCATION
busca__final/3aa4979cc423d6c8f71dc9904dcd17b0.pdf,3aa4979cc423d6c8f71dc9904dcd17b0,6,32441,411374,10.4103/ijph.IJPH_760_20,Vitamin D status and associated factors among peri menopausal women in two selected districts of Kerala,INDIAN JOURNAL OF PUBLIC HEALTH
busca__final/9c751d23b6f489d6358cbdb87f581c3d.pdf,9c751d23b6f489d6358cbdb87f581c3d,7,32837,631262,10.1007/s40618-020-01370-x,Vitamin D deficiency as a predictor of poor prognosis in patients with acute respiratory failure due to COVID-19,JOURNAL OF ENDOCRINOLOGICAL INVESTIGATION
busca__final/f6a0b9c4e332e1ce077ce509dd8f67ba.pdf,f6a0b9c4e332e1ce077ce509dd8f67ba,8,28860,2551072,10.1002/jmv.26360,Vitamin D insufficiency as a potential culprit in critical COVID-19 patients,JOURNAL OF MEDICAL VIROLOGY
busca__final/2e0d44577b09a238379ef0c3b7b02d46.pdf,2e0d44577b09a238379ef0c3b7b02d46,4,11977,287890,10.1002/oby.22838,"Considerations for Obesity, Vitamin D, and Physical Activity Amid the COVID-19 Pandemic",OBESITY
busca__final/07f5a0079114769bcc114ba48550195e.pdf,07f5a0079114769bcc114ba48550195e,14,59207,1469361,10.3390/nu13072170,Effects of a 2-Week 5000 IU versus 1000 IU Vitamin D3 Supplementation on Recovery of Symptoms in Patients with Mild to Moderate Covid-19: A Randomized Clinical Trial,NUTRIENTS
busca__final/9d35c6e7b2dcc1d74881b2ae91ab0452.pdf,9d35c6e7b2dcc1d74881b2ae91ab0452,7,36910,1184534,10.1016/j.ijid.2020.12.077,Low vitamin D status is associated with coronavirus disease 2019 outcomes: a systematic review and meta-analysis,INTERNATIONAL JOURNAL OF INFECTIOUS DISEASES
busca__final/fd363f9a8eca521a89a7a28fb091cbb9.pdf,fd363f9a8eca521a89a7a28fb091cbb9,19,93222,1637772,10.3389/fpubh.2021.736665,Vitamin D Status and SARS-CoV-2 Infection and COVID-19 Clinical Outcomes,FRONTIERS IN PUBLIC HEALTH
busca__final/afd5a74342d431d209db07d3a05035b7.pdf,afd5a74342d431d209db07d3a05035b7,4,14812,368539,10.1007/s00394-020-02372-4,Vitamin D and COVID-19 infection and mortality in UK Biobank,EUROPEAN JOURNAL OF NUTRITION
busca__final/bca87bb5cc89baa99adcb2aef45d88e3.pdf,bca87bb5cc89baa99adcb2aef45d88e3,19,80910,2164814,10.1210/clinem/dgab892,Prognostic and Therapeutic Role of Vitamin D in COVID-19: Systematic Review and Meta-analysis,JOURNAL OF CLINICAL ENDOCRINOLOGY & METABOLISM
busca__final/4e606f72b3354b958f225ea0cb4dfbd0.pdf,4e606f72b3354b958f225ea0cb4dfbd0,8,32734,528228,10.1007/s12603-020-1479-0,Impact of Serum 25(OH) Vitamin D Level on Mortality in Patients with COVID-19 in Turkey,JOURNAL OF NUTRITION HEALTH & AGING
busca__final/e88314666b02ed731b4a08ff1bb709b4.pdf,e88314666b02ed731b4a08ff1bb709b4,18,107661,1267545,10.1007/s11154-021-09693-7,"Vitamin D: Dosing, levels, form, and route of administration: Does one approach fit all?",REVIEWS IN ENDOCRINE & METABOLIC DISORDERS
busca__final/f8021379314f27e77324c17db769a24c.pdf,f8021379314f27e77324c17db769a24c,4,21245,287223,10.1016/j.clnu.2020.10.055,Vitamin D 25OH deficiency in COVID-19 patients admitted to a tertiary referral hospital,CLINICAL NUTRITION
busca__final/18bb960439a4c04ef42d37662b1af07d.pdf,18bb960439a4c04ef42d37662b1af07d,16,63167,2079910,10.1111/ijcp.14675,The role of vitamin D in the age of COVID-19: A systematic review and meta-analysis,INTERNATIONAL JOURNAL OF CLINICAL PRACTICE
busca__final/3e11f9077cd7dce8df095d2677b6f850.pdf,3e11f9077cd7dce8df095d2677b6f850,24,111611,1960227,10.3390/nu13020499,Does the High Prevalence of Vitamin D Deficiency in African Americans Contribute to Health Disparities?,NUTRIENTS
busca__final/9940af475cf1b7a40dd94a57430c2744.pdf,9940af475cf1b7a40dd94a57430c2744,6,30486,730354,10.1017/S0007114520001749,'Scientific Strabismus' or two related pandemics: coronavirus disease and vitamin D deficiency,BRITISH JOURNAL OF NUTRITION
busca__final/2d1b01e89863b51b283fcc295bedb06f.pdf,2d1b01e89863b51b283fcc295bedb06f,21,94675,1740792,10.1007/s11154-021-09705-6,Association of vitamin D status with COVID-19 and its severity,REVIEWS IN ENDOCRINE & METABOLIC DISORDERS
busca__final/e3682abd18bcca0591be6528154aabb6.pdf,e3682abd18bcca0591be6528154aabb6,22,90765,616183,10.1210/jendso/bvaa082,The Impact of SARS-Cov-2 Virus Infection on the Endocrine System,JOURNAL OF THE ENDOCRINE SOCIETY
busca__final/42823cd79818bfcab2e8aa2ff1d06155.pdf,42823cd79818bfcab2e8aa2ff1d06155,5,28942,357893,10.3389/fpubh.2020.00232,Vitamin D Deficiency and Air Pollution Exacerbate COVID-19 Through Suppression of Antiviral Peptide LL37,FRONTIERS IN PUBLIC HEALTH
busca__final/078c20d3a6959402447b57f7db359da2.pdf,078c20d3a6959402447b57f7db359da2,9,32269,898921,10.3390/nu12123773,Low 25-Hydroxyvitamin D Levels on Admission to the Intensive Care Unit May Predispose COVID-19 Pneumonia Patients to a Higher 28-Day Mortality Risk: A Pilot Study on a Greek ICU Cohort,NUTRIENTS
busca__final/f5a52fe65132b882419338072864e9bf.pdf,f5a52fe65132b882419338072864e9bf,7,18228,334436,10.1186/s41182-020-00277-w,Vitamin D deficiency among patients with COVID-19: case series and recent literature review,TROPICAL MEDICINE AND HEALTH
busca__final/a92a74f159573f97682ab24ed444b3e7.pdf,a92a74f159573f97682ab24ed444b3e7,11,42271,1445386,10.3390/nu12082488,Vitamin D Insufficiency and Deficiency and Mortality from Respiratory Diseases in a Cohort of Older Adults: Potential for Limiting the Death Toll during and beyond the COVID-19 Pandemic?,NUTRIENTS
busca__final/191a3c4368115ae20e8ee87003799382.pdf,191a3c4368115ae20e8ee87003799382,7,32573,510631,10.1093/ajcn/nqab151,Influence of vitamin D status on hospital length of stay and prognosis in hospitalized patients with moderate to severe COVID-19: a multicenter prospective cohort study,AMERICAN JOURNAL OF CLINICAL NUTRITION
busca__final/4b0032aa5524592292359ca6414b6138.pdf,4b0032aa5524592292359ca6414b6138,8,38597,192460,10.1210/clinem/dgab439,Vitamin D Deficiency Is Associated With Higher Hospitalization Risk From COVID-19: A Retrospective Case-control Study,JOURNAL OF CLINICAL ENDOCRINOLOGY & METABOLISM
busca__final/160ffd5b27c3ce281d4c51bcc60ecad6.pdf,160ffd5b27c3ce281d4c51bcc60ecad6,18,75793,1212562,10.26355/eurrev_202009_23064,Vitamin deficiency as risk factor for SARS-CoV-2 infection: correlation with susceptibility and prognosis,EUROPEAN REVIEW FOR MEDICAL AND PHARMACOLOGICAL SCIENCES
busca__final/6ff4474746b307058aba6674c2be78fb.pdf,6ff4474746b307058aba6674c2be78fb,8,35225,237790,10.3390/nu13020411,Vitamin D Supplementation to Prevent COVID-19 Infections and Deaths-Accumulating Evidence from Epidemiological and Intervention Studies Calls for Immediate Action,NUTRIENTS
busca__final/f5874e00f882d015a8f2b386ce424bab.pdf,f5874e00f882d015a8f2b386ce424bab,14,58823,918170,10.3390/jcm10112378,Vitamin D Levels in COVID-19 Outpatients from Western Mexico: Clinical Correlation and Effect of Its Supplementation,JOURNAL OF CLINICAL MEDICINE
busca__final/c8b767d1b8b81f34762646206c23ce36.pdf,c8b767d1b8b81f34762646206c23ce36,6,36626,421778,10.1016/j.jsbmb.2021.105964,Impact of vitamin D on the course of COVID-19 during pregnancy: A case control study,JOURNAL OF STEROID BIOCHEMISTRY AND MOLECULAR BIOLOGY
busca__final/8b9d3a67c928377f2011f91df944caba.pdf,8b9d3a67c928377f2011f91df944caba,11,51204,1748004,10.1080/07315724.2021.1951891,Association between Vitamin D Status and Risk of Developing Severe COVID-19 Infection: A Meta-Analysis of Observational Studies,JOURNAL OF THE AMERICAN NUTRITION ASSOCIATION
busca__final/b6b73b10c7dfbd2e1acd4b6f59773b6a.pdf,b6b73b10c7dfbd2e1acd4b6f59773b6a,9,47777,642617,10.1007/s40618-021-01535-2,"Vitamin D deficiency, secondary hyperparathyroidism and respiratory insufficiency in hospitalized patients with COVID-19",JOURNAL OF ENDOCRINOLOGICAL INVESTIGATION
busca__final/d8fc6acb34c962aca793fd7a5b794451.pdf,d8fc6acb34c962aca793fd7a5b794451,30,145019,4280260,10.3390/nu14142997,"Rapidly Increasing Serum 25(OH)D Boosts the Immune System, against Infections-Sepsis and COVID-19",NUTRIENTS
busca__final/eb9c4f11c700be50df1b682a6ca968fb.pdf,eb9c4f11c700be50df1b682a6ca968fb,7,33330,523344,10.1186/s12879-021-06168-7,Lack of association between vitamin D insufficiency and clinical outcomes of patients with COVID-19 infection,BMC INFECTIOUS DISEASES
busca__final/0a337a62de92b3e2717d0f7a454dbe4c.pdf,0a337a62de92b3e2717d0f7a454dbe4c,6,27305,1428191,10.2147/DDDT.S271754,A Single Large Dose of Vitamin D Could be Used as a Means of Coronavirus Disease 2019 Prevention and Treatment,DRUG DESIGN DEVELOPMENT AND THERAPY
busca__final/45e970df5f8cc4bba8601569e53eafc2.pdf,45e970df5f8cc4bba8601569e53eafc2,8,40218,700309,10.1620/tjem.255.127,Prevalence and Clinical Outcomes of Vitamin D Deficiency in COVID-19 Hospitalized Patients: A Retrospective Single-Center Analysis,TOHOKU JOURNAL OF EXPERIMENTAL MEDICINE
busca__final/b1b48179b1b9907ccd95373ace71d5db.pdf,b1b48179b1b9907ccd95373ace71d5db,10,52279,553296,10.1159/000514286,Pathophysiological Implication of Vitamin D in Diabetic Kidney Disease,KIDNEY & BLOOD PRESSURE RESEARCH
busca__final/5489348321ae7d09526e92f404efd476.pdf,5489348321ae7d09526e92f404efd476,11,48087,490381,10.1016/j.aimed.2020.07.011,The effects of vitamin D on acute viral respiratory infections: A rapid review,ADVANCES IN INTEGRATIVE MEDICINE
busca__final/08eece08318d9636184bd6a02259aa65.pdf,08eece08318d9636184bd6a02259aa65,8,46300,938560,10.1038/s41390-022-02275-6,Vitamin D deficiency and vitamin D receptor FokI polymorphism as risk factors for COVID-19,PEDIATRIC RESEARCH
busca__final/a91c12b941281d4a41ce64f67b23f032.pdf,a91c12b941281d4a41ce64f67b23f032,22,66118,1034848,10.1371/journal.pone.0269064,The association between vitamin D status and COVID-19 in England: A cohort study using UK Biobank,PLOS ONE
busca__final/e38af584e9f14cd04643819b03eb7bc0.pdf,e38af584e9f14cd04643819b03eb7bc0,5,35865,1611184,10.1016/j.inat.2021.101441,Vitamin D and its' role in Parkinson's disease patients with SARS-CoV-2 infection. A review article,INTERDISCIPLINARY NEUROSURGERY-ADVANCED TECHNIQUES AND CASE MANAGEMENT
busca__final/7fbcbaca30d8ac4c9bf5068af5741055.pdf,7fbcbaca30d8ac4c9bf5068af5741055,10,46443,548203,10.2147/IJGM.S346169,The Impact of Vitamin D Level on the Severity and Outcome of Hospitalized Patients with COVID-19 Disease,INTERNATIONAL JOURNAL OF GENERAL MEDICINE
busca__final/dab174395d862d6ac0a1537f19069e62.pdf,dab174395d862d6ac0a1537f19069e62,11,62121,778808,10.1136/bmjopen-2021-055435,"Vitamin D insufficiency in COVID-19 and influenza A, and critical illness survivors: a cross-sectional study",BMJ OPEN
busca__final/403c5aca662efedfe107eb0b241577e4.pdf,403c5aca662efedfe107eb0b241577e4,11,70516,404179,10.1002/JLB.4COVR1020-698R,Role of vitamin D in regulating COVID-19 severity-An immunological perspective,JOURNAL OF LEUKOCYTE BIOLOGY
busca__final/0ddcfd1cb232030765e364e5064ddcb9.pdf,0ddcfd1cb232030765e364e5064ddcb9,6,30362,276251,10.4149/BLL_2021_034,The relationship between vitamin D and the severity of COVID-19,BRATISLAVA MEDICAL JOURNAL-BRATISLAVSKE LEKARSKE LISTY
busca__final/0f7b0446f6376777a414fff98c1b732f.pdf,0f7b0446f6376777a414fff98c1b732f,9,45587,512291,10.2147/IJGM.S309003,Prevalence of Low Level of Vitamin D Among COVID-19 Patients and Associated Risk Factors in India - A Hospital-Based Study,INTERNATIONAL JOURNAL OF GENERAL MEDICINE
busca__final/212c7af70a5700b7db626d93dbc8a24f.pdf,212c7af70a5700b7db626d93dbc8a24f,2,7691,179715,10.3390/nu12123642,"Vitamin D Insufficiency May Account for Almost Nine of Ten COVID-19 Deaths: Time to Act. Comment on: Vitamin D Deficiency and Outcome of COVID-19 Patients. <i>Nutrients</i> 2020, <i>12</i>, 2757",NUTRIENTS
busca__final/50862767ae416177919977ab90d37375.pdf,50862767ae416177919977ab90d37375,12,48914,408668,10.1177/1753944720977715,Differences in RAAS/vitamin D linked to genetics and socioeconomic factors could explain the higher mortality rate in African Americans with COVID-19,THERAPEUTIC ADVANCES IN CARDIOVASCULAR DISEASE
busca__final/89e1678a75641538229b189d2483cf56.pdf,89e1678a75641538229b189d2483cf56,13,70373,1632234,10.3389/fendo.2022.913334,Current evidence on the impact of the COVID-19 pandemic on paediatric endocrine conditions,FRONTIERS IN ENDOCRINOLOGY
busca__final/1367857b3a3a9eef9cbb1bffb3c6b5fa.pdf,1367857b3a3a9eef9cbb1bffb3c6b5fa,8,51380,550723,10.1016/j.ctim.2022.102855,"Vitamin D deficiency is Associated with Increased Risk of Delirium and Mortality among Critically Ill, Elderly Covid-19 Patients",COMPLEMENTARY THERAPIES IN MEDICINE
busca__final/cb18be1585ebae7f737e10643d237b81.pdf,cb18be1585ebae7f737e10643d237b81,9,33103,1608605,10.4162/nrp.2021.15.S1.S32,25-Hydroxyvitamin D level is associated with mortality in patients with critical COVID-19: a prospective observational study in Mexico City,NUTRITION RESEARCH AND PRACTICE
busca__final/600c30ebcfe4ddb9af45a97f376a2b75.pdf,600c30ebcfe4ddb9af45a97f376a2b75,17,107225,778283,10.1093/cdn/nzab018,Implications of Vitamin D Research in Chickens can Advance Human Nutrition and Perspectives for the Future,CURRENT DEVELOPMENTS IN NUTRITION
busca__final/342580812f9fa7e420b46121d9d57fa0.pdf,342580812f9fa7e420b46121d9d57fa0,7,50036,449849,10.1016/j.hnm.2022.200141,The role of micronutrients in the management of COIVD-19 and optimizing vaccine efficacy,HUMAN NUTRITION & METABOLISM
busca__final/9019e6e5f0430b29bfcdf1dcf3002908.pdf,9019e6e5f0430b29bfcdf1dcf3002908,16,55661,6379899,10.3390/ph15030305,Vitamin D Status and Immune Response in Hospitalized Patients with Moderate and Severe COVID-19,PHARMACEUTICALS
busca__final/f10d117a8bac37f358f18266e7a6ba4b.pdf,f10d117a8bac37f358f18266e7a6ba4b,6,37546,1102545,10.1016/j.cca.2021.08.003,Previous vitamin D status and total cholesterol are associated with SARS-CoV-2 infection,CLINICA CHIMICA ACTA
busca__final/a0590e4a893c1e0c66eb19d53361cc60.pdf,a0590e4a893c1e0c66eb19d53361cc60,11,48091,577663,10.3390/ijms232315188,Association between 25-OH Vitamin D Deficiency and COVID-19 Severity in Pregnant Women,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES
busca__final/1db4e00fd51b94ec91aca3ed51218d65.pdf,1db4e00fd51b94ec91aca3ed51218d65,6,30471,686085,10.4102/sajid.v37i1.359,Vitamin D status and COVID-19 severity,SOUTHERN AFRICAN JOURNAL OF INFECTIOUS DISEASES
busca__final/e271ac9d92824e367ecd261ce9063a5a.pdf,e271ac9d92824e367ecd261ce9063a5a,16,87417,2843543,10.3390/ijerph182010950,Sunlight Exposure and Phototherapy: Perspectives for Healthy Aging in an Era of COVID-19,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH
busca__final/43571ec1f68eb3d862a820999faa1adb.pdf,43571ec1f68eb3d862a820999faa1adb,10,37989,2827691,10.4103/JOD.JOD_18_20,Vitamin D and its role in coronavirus disease 2019 (COVID-19),JOURNAL OF DIABETOLOGY
busca__final/9fcb75f274f95a55cf2846c1965dcc70.pdf,9fcb75f274f95a55cf2846c1965dcc70,5,28970,352964,10.1017/jns.2020.36,COVID-19: the older adult and the importance of vitamin D sufficiency,JOURNAL OF NUTRITIONAL SCIENCE
busca__final/1e58dc79b423ed04f2e19ce7a72509d4.pdf,1e58dc79b423ed04f2e19ce7a72509d4,7,32232,518489,10.1055/s-0043-1761924,Strong Association between Vitamin D Receptor Gene and Severe Acute Respiratory Syndrome coronavirus 2 Infectious Variants,GLOBAL MEDICAL GENETICS
busca__final/e63c3c2f506e63c49a002a5e3ead8934.pdf,e63c3c2f506e63c49a002a5e3ead8934,13,78887,788060,10.1016/j.diabres.2022.110156,"Impact of diabetes status and related factors on COVID-19-associated hospitalization: A nationwide retrospective cohort study of 116,370 adults with SARS-CoV-2 infection",DIABETES RESEARCH AND CLINICAL PRACTICE
busca__final/09fcf0aecb28bddb4e77d03db29755ab.pdf,09fcf0aecb28bddb4e77d03db29755ab,8,44461,547254,10.1016/j.clnesp.2022.04.003,Association between 25-hydroxyvitamin D levels and COVID-19 severity,CLINICAL NUTRITION ESPEN
