Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,busca
Vitamin D status and predictors of hypovitaminosis D in Italian children and adolescents: a cross-sectional study,"Vierucci, Francesco; Del Pistoia, Marta; Fanos, Margherita; Gori, Martina; Carlone, Giorgia; Erba, Paola; Massimetti, Gabriele; Federico, Giovanni; Saggese, Giuseppe",,,,EUROPEAN JOURNAL OF PEDIATRICS,DEC 2013,2013,172.0,12,,,,1607,1617,,10.1007/s00431-013-2119-z,,,90,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,3,9,16,8,10,7,13,9,0,1
Vitamin D and the Skin: An Update for Dermatologists,"Kechichian, Elio; Ezzedine, Khaled",,,,AMERICAN JOURNAL OF CLINICAL DERMATOLOGY,APR 2018,2018,19.0,2,,,,223,235,,10.1007/s40257-017-0323-8,,,84,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,15,24,19,17,0,1
Prevalence of hypovitaminosis D and predictors of vitamin D status in Italian healthy adolescents,"Vierucci, Francesco; Del Pistoia, Marta; Fanos, Margherita; Erba, Paola; Saggese, Giuseppe",,,,ITALIAN JOURNAL OF PEDIATRICS,JUN 5 2014,2014,40.0,,,,,,,54,10.1186/1824-7288-40-54,,,74,6.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,8,12,17,8,4,9,5,5,0,1
Vitamin D and Asthma in Children,"Gupta, Atul; Bush, Andrew; Hawrylowicz, Catherine; Saglani, Sejal",,,,PAEDIATRIC RESPIRATORY REVIEWS,DEC 2012,2012,13.0,4,,,,236,243,,10.1016/j.prrv.2011.07.003,,,60,4.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,10,7,4,6,4,11,5,1,0,4,0,1
"Vitamin D insufficiency common in newborns, children and pregnant women living in Newfoundland and Labrador, Canada","Newhook, Leigh A.; Sloka, Scott; Grant, Marie; Randell, Edward; Kovacs, Christopher S.; Twells, Laurie K.",,,,MATERNAL AND CHILD NUTRITION,APR 2009,2009,5.0,2,,,,186,191,,10.1111/j.1740-8709.2008.00157.x,,,59,3.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,9,8,6,5,3,2,2,3,1,2,0,2,0,1
"Serum 25-Hydroxyvitamin D Concentration, Life Factors and Obesity in Mexican Children","Elizondo-Montemayor, Leticia; Ugalde-Casas, Patricia A.; Serrano-Gonzalez, Monica; Cuello-Garcia, Carlos A.; Borbolla-Escoboza, Jose R.",,,,OBESITY,SEP 2010,2010,18.0,9,,,,1805,1811,,10.1038/oby.2009.448,,,48,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,9,7,7,3,4,2,1,5,4,1,0,0,1
"Sunlight, UV Radiation, Vitamin D, and Skin Cancer: How Much Sunlight Do We Need?","Holick, Michael F.",,,"Reichrath, J","SUNLIGHT, VITAMIN D AND SKIN CANCER, 3RD EDITION",2020,2020,1268.0,,,,,19,36,,10.1007/978-3-030-46227-7_2,,,45,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,13,24,0,1
"Vitamin D insufficiency in Brazilian patients with SLE: prevalence, associated factors, and relationship with activity","Souto, M. I. D.; Coelho, A.; Guo, C.; Mendonca, L. M. C.; Argolo, S.; Papi, J. A. S.; Farias, M. L. F.",,,,LUPUS,OCT 2011,2011,20.0,10,,,,1019,1026,,10.1177/0961203311401457,,,45,3.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,4,4,4,8,5,2,2,1,2,3,0,1
Vitamin D status and its predictive factors in pregnancy in 2 Australian populations,"Perampalam, Sumathy; Ganda, Kirtan; Chow, Kerri-Anne; Opie, Nicole; Hickman, Peter E.; Shadbolt, Bruce; Hennessy, Annemarie; Grunstein, Harry; Nolan, Christopher J.",,,,AUSTRALIAN & NEW ZEALAND JOURNAL OF OBSTETRICS & GYNAECOLOGY,AUG 2011,2011,51.0,4,,,,353,359,,10.1111/j.1479-828X.2011.01313.x,,,43,3.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,7,5,5,3,1,5,2,2,4,2,1,0,1
Effects of ambient sunlight and photoprotection on vitamin D status,"Diehl, Joseph W.; Chiu, Melvin W.",,,,DERMATOLOGIC THERAPY,JAN-FEB 2010,2010,23.0,1,,,,48,60,,10.1111/j.1529-8019.2009.01290.x,,,41,2.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,5,5,1,5,2,2,2,2,1,2,3,0,1
Vitamin D in health and disease,"LoPiccolo, Matteo C.; Lim, Henry W.",,,,PHOTODERMATOLOGY PHOTOIMMUNOLOGY & PHOTOMEDICINE,OCT 2010,2010,26.0,5,,,,224,229,,10.1111/j.1600-0781.2010.00524.x,,,40,2.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,7,7,3,1,4,4,1,3,2,2,0,0,1
25(OH) Vitamin D<sub>3</sub> in patients with chronic kidney disease and those on dialysis:: rediscovering its importance,"Taskapan, Hulya; Wei, Mingxin; Oreopoulos, Dimitrios G.",,,,INTERNATIONAL UROLOGY AND NEPHROLOGY,2006,2006,38.0,2,,,,323,329,,10.1007/s11255-006-0081-7,,,39,2.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,3,5,3,4,5,3,0,1,1,1,0,1,0,1,0,1
Prevalence and predictors of vitamin D insufficiency in women of reproductive age living in northern latitude,"Gagnon, Claudia; Baillargeon, Jean-Patrice; Desmarais, Guillaume; Fink, Guy D.",,,,EUROPEAN JOURNAL OF ENDOCRINOLOGY,NOV 2010,2010,163.0,5,,,,819,824,,10.1530/EJE-10-0441,,,38,2.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,6,8,2,6,0,2,2,4,1,0,0,0,1
Prevalence and determinants of vitamin D deficiency in the third trimester of pregnancy: a multicentre study in Switzerland,"Krieger, Jean-Philippe; Cabaset, Sophie; Canonica, Claudia; Christoffel, Ladina; Richard, Aline; Schroder, Therese; von Wattenwyl, Begona Lipp; Rohrmann, Sabine; Lotscher, Katharina Quack",,,,BRITISH JOURNAL OF NUTRITION,FEB 14 2018,2018,119.0,3,,,,299,309,,10.1017/S0007114517003634,,,37,5.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,7,9,8,4,0,1
Vitamin D in exercise: Physiologic and analytical concerns,"Lanteri, Patrizia; Lombardi, Giovanni; Colombini, Alessandra; Banfi, Giuseppe",,,,CLINICA CHIMICA ACTA,JAN 16 2013,2013,415.0,,,,,45,53,,10.1016/j.cca.2012.09.004,,,35,2.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,3,5,3,6,7,2,0,3,0,1
Daily Supplementation with 25 μg Cholecalciferol Does Not Increase Calcium Absorption or Skeletal Retention in Adolescent Girls with Low Serum 25-Hydroxyvitamin D,"Park, Clara Y.; Hill, Kathleen M.; Elble, Ann E.; Martin, Berdine R.; DiMeglio, Linda A.; Peacock, Munro; McCabe, George P.; Weaver, Connie M.",,,,JOURNAL OF NUTRITION,DEC 2010,2010,140.0,12,,,,2139,2144,,10.3945/jn.110.124891,,,35,2.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,5,4,3,1,2,2,2,2,1,1,0,0,1
Serum 25-hydroxyvitamin D in erythropoietic protoporphyria,"Holme, S. A.; Anstey, A. V.; Badminton, M. N.; Elder, G. H.",,,,BRITISH JOURNAL OF DERMATOLOGY,JUL 2008,2008,159.0,1,,,,211,213,,10.1111/j.1365-2133.2008.08616.x,,,34,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,4,4,0,0,2,3,4,2,3,3,1,0,1
The effects of vitamin D deficiency and insufficiency on the endocrine and paracrine systems,"Alpert, Patricia T.; Shaikh, Ulfat",,,,BIOLOGICAL RESEARCH FOR NURSING,OCT 2007,2007,9.0,2,,,,117,129,,10.1177/1099800407308057,,,32,1.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,4,2,2,1,2,3,2,2,0,3,4,0,0,0,1
Prevalence and predictors of vitamin D deficiency in non-supplemented women with systemic lupus erythematosus in the Mediterranean region: a cohort study,"Munoz-Ortego, J.; Torrente-Segarra, V.; Prieto-Alhambra, D.; Salman-Monte, T. C.; Carbonell-Abello, J.",,,,SCANDINAVIAN JOURNAL OF RHEUMATOLOGY,2012,2012,41.0,6,,,,472,475,,10.3109/03009742.2012.697189,,,28,2.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,6,3,3,0,2,0,2,2,0,1
Macro- and micronutrients in African-Americans with heart failure,"Bhattacharya, Syamal K.; Ahokas, Robert A.; Carbone, Laura D.; Newman, Kevin P.; Gerling, Ivan C.; Sun, Yao; Weber, Karl T.",,,,HEART FAILURE REVIEWS,MAR 2006,2006,11.0,1,,,,45,55,,10.1007/s10741-006-9192-6,,,24,1.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,7,5,1,0,0,0,0,1,1,1,0,0,0,0,1
25-Hydroxy Vitamin D Deficiency Following Pediatric Hematopoietic Stem Cell Transplant,"Duncan, Christine N.; Vrooman, Lynda; Apfelbaum, Erin M.; Whitley, Katherine; Bechard, Lori; Lehmann, Leslie E.",,,,BIOLOGY OF BLOOD AND MARROW TRANSPLANTATION,MAY 2011,2011,17.0,5,,,,749,753,,10.1016/j.bbmt.2010.10.009,,,23,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,2,2,3,3,2,1,0,1
"Influence of external, intrinsic and individual behaviour variables on serum 25(OH)D in a German survey","Richter, Katja; Breitner, Susanne; Webb, Ann R.; Huth, Cornelia; Thorand, Barbara; Kift, Richard; Linseisen, Jakob; Schuh, Angela; Kratzsch, Juergen; Mielck, Andreas; Weidinger, Stephan; Peters, Annette; Schneider, Alexandra",KORA Study Grp,,,JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY B-BIOLOGY,NOV 2014,2014,140.0,,,,,120,129,,10.1016/j.jphotobiol.2014.07.018,,,20,1.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,5,2,2,0,0,2,0,1
Effects of sunlight exposure and vitamin D supplementation on HIV patients,"Akimbekov, Nuraly S.; Ortoski, Richard A.; Razzaque, Mohammed S.",,,,JOURNAL OF STEROID BIOCHEMISTRY AND MOLECULAR BIOLOGY,JUN 2020,2020,200.0,,,,,,,105664,10.1016/j.jsbmb.2020.105664,,,19,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,6,1,0,1
Risk factors associated with hypovitaminosis D in HIV/aids-infected adults,"Palmeira Canuto, Juliana Maria; Palmeira Canuto, Virginia Maria; Alves de Lima, Matheus Henrique; Costa Silva de Omena, Ana Luiza; de Lima Morais, Thayna Melo; Paiva, Arthur Maia; Diniz, Erik Trovao; Ferreira Tenorio de Almeida, David Joseph; Soares Ferreira, Sonia Maria",,,,ARCHIVES OF ENDOCRINOLOGY METABOLISM,FEB 2015,2015,59.0,1,,,,34,41,,10.1590/2359-3997000000007,,,14,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,3,1,2,1,0,0,1
"Vitamin D insufficiency and its contributing factors in primary school-aged children in Indonesia, a sun-rich country","Pulungan, Aman; Soesanti, Frida; Tridjaja, Bambang; Batubara, Jose",,,,ANNALS OF PEDIATRIC ENDOCRINOLOGY & METABOLISM,JUN 2021,2021,26.0,2,,,,92,98,,10.6065/apem.2040132.066,,,13,3.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,5,0,1
Comparison of Vitamin D and 25-Hydroxyvitamin D Concentrations in Human Breast Milk between 1989 and 2016-2017,"Tsugawa, Naoko; Nishino, Mayu; Kuwabara, Akiko; Ogasawara, Honami; Kamao, Maya; Kobayashi, Shunjiro; Yamamura, Junichi; Higurashi, Satoshi",,,,NUTRIENTS,FEB 2021,2021,13.0,2,,,,,,573,10.3390/nu13020573,,,13,3.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,7,0,1
Vitamin D nutritional status in the adult population in Colombia - An analytical cross-sectional study,"Hernando, Vargas-Uricchea; Andry, Mera-Mamian; Maria Virginia, Pinzon-Fernandez; Valentina, Agredo",,,,HELIYON,FEB 2020,2020,6.0,2,,,,,,e03479,10.1016/j.heliyon.2020.e03479,,,13,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,0,1
Sunlight and vitamin D: The bone and cancer connections,"Holick, MF",,,,RADIATION PROTECTION DOSIMETRY,2000,2000,91.0,1-3,,,,65,71,,10.1093/oxfordjournals.rpd.a033236,"International Workshop on Ultraviolet Radiation Exposure, Measurement and Protection","OCT 18-20, 1999",11,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,1
Bone mineral density and vitamin D levels in erythropoietic protoporphyria,"Allo, Gonzalo; del Carmen Garrido-Astray, Maria; Enriquez De Salamanca, Rafael; Martinez, Guillermo; Hawkins, Federico",,,,ENDOCRINE,DEC 2013,2013,44.0,3,,,,803,807,,10.1007/s12020-013-9934-x,,,10,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,4,1,0,1
Prevalence of 25-Hydroxyvitamin D Deficiency in Child and Adolescent Patients Undergoing Hematopoietic Cell Transplantation Compared to a Healthy Population,"Simmons, Jill; Sheedy, Craig; Lee, Haerin; Koh, Shannon; Alvarez, JoAnn; Koyama, Tatsuki; Friedman, Debra",,,,PEDIATRIC BLOOD & CANCER,DEC 2013,2013,60.0,12,,,,2025,2030,,10.1002/pbc.24684,,,9,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1,1,1,1,0,1
